30

d(1	17	23	5	200000.0)
d(2	19	23	1	200000.0)
d(3	24	24	2	200000.0)
d(4	2	13	2	200000.0)
d(5	1	9	1	200000.0)
d(6	10	11	5	200000.0)
d(7	12	18	5	200000.0)
d(8	18	23	5	200000.0)
d(9	9	16	3	200000.0)
d(10	2	3	2	200000.0)
d(11	12	16	4	200000.0)
d(12	14	14	1	200000.0)
d(13	15	23	4	200000.0)
d(14	16	19	2	200000.0)
d(15	8	9	1	200000.0)
d(16	24	24	4	200000.0)
d(17	5	22	4	200000.0)
d(18	7	21	4	200000.0)
d(19	6	22	4	200000.0)
d(20	7	14	1	200000.0)
d(21	13	20	5	200000.0)
d(22	4	19	4	200000.0)
d(23	9	20	4	200000.0)
d(24	23	23	1	200000.0)
d(25	17	18	2	200000.0)
d(26	17	22	1	200000.0)
d(27	23	24	2	200000.0)
d(28	2	20	5	200000.0)
d(29	10	19	4	200000.0)
d(30	10	23	2	200000.0)
v(1	1	14	68	28	3)
v(1	2	25	138	50	3)
v(1	3	12	37	24	4)
v(1	4	18	142	36	4)
v(1	5	20	50	40	4)
v(2	1	14	155	28	0)
v(3	1	9	108	18	1)
v(3	2	3	111	6	1)
v(4	1	9	128	18	1)
v(4	2	1	2	2	1)
v(5	1	4	28	8	0)
v(6	1	25	184	50	4)
v(6	2	26	185	52	4)
v(6	3	30	50	60	4)
v(6	4	29	94	58	4)
v(6	5	8	129	16	4)
v(7	1	3	22	6	4)
v(7	2	10	121	20	4)
v(7	3	2	159	4	4)
v(7	4	22	88	44	4)
v(7	5	13	78	26	4)
v(8	1	9	154	18	4)
v(8	2	14	83	28	3)
v(8	3	28	48	56	4)
v(8	4	15	63	30	2)
v(8	5	4	78	8	3)
v(9	1	27	59	54	2)
v(9	2	21	143	42	2)
v(9	3	3	71	6	2)
v(10	1	21	38	42	1)
v(10	2	27	162	54	1)
v(11	1	32	180	64	3)
v(11	2	27	52	54	3)
v(11	3	15	83	30	3)
v(11	4	12	53	24	3)
v(12	1	11	166	22	0)
v(13	1	25	184	50	3)
v(13	2	21	26	42	3)
v(13	3	23	42	46	3)
v(13	4	22	115	44	3)
v(14	1	25	55	50	1)
v(14	2	29	113	58	1)
v(15	1	4	22	8	0)
v(16	1	16	87	32	3)
v(16	2	17	171	34	3)
v(16	3	12	115	24	3)
v(16	4	1	16	2	3)
v(17	1	20	121	40	3)
v(17	2	29	137	58	3)
v(17	3	29	66	58	3)
v(17	4	29	96	58	3)
v(18	1	4	99	8	3)
v(18	2	1	16	2	3)
v(18	3	21	142	42	3)
v(18	4	24	49	48	3)
v(19	1	11	129	22	3)
v(19	2	16	171	32	3)
v(19	3	5	119	10	3)
v(19	4	18	50	36	3)
v(20	1	14	38	28	0)
v(21	1	15	148	30	3)
v(21	2	21	61	42	4)
v(21	3	19	111	38	3)
v(21	4	16	138	32	3)
v(21	5	4	87	8	3)
v(22	1	15	95	30	2)
v(22	2	5	126	10	3)
v(22	3	30	74	60	2)
v(22	4	17	66	34	3)
v(23	1	23	37	46	3)
v(23	2	4	14	8	3)
v(23	3	7	140	14	3)
v(23	4	19	47	38	3)
v(24	1	2	159	4	0)
v(25	1	11	57	22	1)
v(25	2	8	143	16	1)
v(26	1	7	84	14	0)
v(27	1	13	118	26	1)
v(27	2	29	165	58	1)
v(28	1	1	136	2	3)
v(28	2	8	26	16	4)
v(28	3	32	64	64	3)
v(28	4	9	58	18	4)
v(28	5	24	147	48	4)
v(29	1	31	148	62	3)
v(29	2	31	142	62	3)
v(29	3	6	135	12	2)
v(29	4	4	84	8	2)
v(30	1	16	86	32	1)
v(30	2	11	32	22	1)
e(1	1	3	40)
e(1	2	3	100)
e(1	1	4	90)
e(1	2	4	50)
e(1	3	4	40)
e(1	1	5	90)
e(1	2	5	40)
e(1	3	5	80)
e(1	4	5	50)
e(3	1	2	60)
e(4	1	2	20)
e(6	1	2	140)
e(6	1	3	30)
e(6	2	3	20)
e(6	1	4	100)
e(6	2	4	150)
e(6	3	4	120)
e(6	1	5	120)
e(6	2	5	60)
e(6	3	5	10)
e(6	4	5	60)
e(7	1	2	60)
e(7	1	3	100)
e(7	2	3	50)
e(7	1	4	70)
e(7	2	4	100)
e(7	3	4	10)
e(7	1	5	100)
e(7	2	5	30)
e(7	3	5	90)
e(7	4	5	50)
e(8	1	2	30)
e(8	1	3	40)
e(8	2	3	150)
e(8	1	4	30)
e(8	3	4	50)
e(8	1	5	130)
e(8	2	5	20)
e(8	3	5	120)
e(9	1	2	30)
e(9	1	3	90)
e(9	2	3	50)
e(10	1	2	10)
e(11	1	2	100)
e(11	1	3	80)
e(11	2	3	70)
e(11	1	4	80)
e(11	2	4	110)
e(11	3	4	110)
e(13	1	2	20)
e(13	1	3	160)
e(13	2	3	130)
e(13	1	4	30)
e(13	2	4	150)
e(13	3	4	10)
e(14	1	2	100)
e(16	1	2	100)
e(16	1	3	30)
e(16	2	3	50)
e(16	1	4	10)
e(16	2	4	150)
e(16	3	4	50)
e(17	1	2	120)
e(17	1	3	140)
e(17	2	3	90)
e(17	1	4	60)
e(17	2	4	120)
e(17	3	4	100)
e(18	1	2	100)
e(18	1	3	90)
e(18	2	3	110)
e(18	1	4	10)
e(18	2	4	50)
e(18	3	4	80)
e(19	1	2	160)
e(19	1	3	130)
e(19	2	3	160)
e(19	1	4	10)
e(19	2	4	90)
e(19	3	4	60)
e(21	1	2	110)
e(21	1	3	40)
e(21	2	3	20)
e(21	1	4	20)
e(21	2	4	80)
e(21	2	5	110)
e(21	3	5	70)
e(21	4	5	80)
e(22	1	2	40)
e(22	2	3	130)
e(22	1	4	150)
e(22	2	4	70)
e(22	3	4	20)
e(23	1	2	110)
e(23	1	3	140)
e(23	2	3	100)
e(23	1	4	70)
e(23	2	4	130)
e(23	3	4	120)
e(25	1	2	70)
e(27	1	2	90)
e(28	1	2	110)
e(28	2	3	60)
e(28	1	4	100)
e(28	2	4	160)
e(28	3	4	110)
e(28	1	5	160)
e(28	2	5	60)
e(28	3	5	140)
e(28	4	5	120)
e(29	1	2	10)
e(29	1	3	90)
e(29	2	3	50)
e(29	1	4	160)
e(29	2	4	20)
e(30	1	2	60)

