45

d(1	14	18	5	200000.0)
d(2	21	23	4	200000.0)
d(3	22	22	3	200000.0)
d(4	20	23	1	200000.0)
d(5	4	17	2	200000.0)
d(6	7	7	5	200000.0)
d(7	11	18	4	200000.0)
d(8	19	21	3	200000.0)
d(9	13	15	3	200000.0)
d(10	6	6	4	200000.0)
d(11	12	21	2	200000.0)
d(12	4	18	5	200000.0)
d(13	11	15	4	200000.0)
d(14	20	23	3	200000.0)
d(15	23	24	2	200000.0)
d(16	24	24	5	200000.0)
d(17	10	11	5	200000.0)
d(18	14	21	2	200000.0)
d(19	1	22	5	200000.0)
d(20	8	20	4	200000.0)
d(21	21	24	2	200000.0)
d(22	9	13	2	200000.0)
d(23	1	7	3	200000.0)
d(24	18	23	1	200000.0)
d(25	10	10	5	200000.0)
d(26	2	13	5	200000.0)
d(27	11	22	5	200000.0)
d(28	4	21	5	200000.0)
d(29	23	24	5	200000.0)
d(30	11	11	4	200000.0)
d(31	5	18	4	200000.0)
d(32	1	17	2	200000.0)
d(33	20	23	2	200000.0)
d(34	17	19	3	200000.0)
d(35	5	11	3	200000.0)
d(36	8	24	5	200000.0)
d(37	5	13	1	200000.0)
d(38	19	19	5	200000.0)
d(39	16	22	2	200000.0)
d(40	17	19	4	200000.0)
d(41	6	23	2	200000.0)
d(42	19	19	4	200000.0)
d(43	22	22	5	200000.0)
d(44	8	12	3	200000.0)
d(45	22	24	2	200000.0)
v(1	1	32	149	64	4)
v(1	2	30	142	60	3)
v(1	3	17	86	34	3)
v(1	4	23	51	46	4)
v(1	5	24	93	48	4)
v(2	1	7	44	14	3)
v(2	2	3	72	6	3)
v(2	3	16	168	32	3)
v(2	4	11	86	22	3)
v(3	1	23	117	46	2)
v(3	2	17	42	34	2)
v(3	3	18	30	36	2)
v(4	1	4	36	8	0)
v(5	1	3	44	6	1)
v(5	2	4	112	8	1)
v(6	1	26	152	52	4)
v(6	2	18	108	36	4)
v(6	3	3	117	6	3)
v(6	4	18	126	36	4)
v(6	5	26	55	52	3)
v(7	1	29	99	58	2)
v(7	2	11	93	22	2)
v(7	3	6	19	12	3)
v(7	4	18	175	36	3)
v(8	1	5	71	10	2)
v(8	2	8	74	16	2)
v(8	3	1	127	2	2)
v(9	1	8	121	16	2)
v(9	2	32	126	64	2)
v(9	3	17	73	34	2)
v(10	1	24	154	48	2)
v(10	2	32	85	64	3)
v(10	3	12	89	24	3)
v(10	4	31	66	62	2)
v(11	1	29	148	58	1)
v(11	2	29	73	58	1)
v(12	1	3	114	6	3)
v(12	2	20	45	40	4)
v(12	3	26	99	52	3)
v(12	4	19	164	38	4)
v(12	5	7	111	14	4)
v(13	1	17	94	34	3)
v(13	2	9	20	18	3)
v(13	3	19	83	38	3)
v(13	4	11	142	22	3)
v(14	1	24	151	48	2)
v(14	2	7	133	14	2)
v(14	3	27	92	54	2)
v(15	1	15	152	30	1)
v(15	2	19	106	38	1)
v(16	1	29	136	58	4)
v(16	2	3	97	6	4)
v(16	3	5	47	10	4)
