60

d(1	22	23	3	200000.0)
d(2	23	23	1	200000.0)
d(3	7	15	1	200000.0)
d(4	5	8	2	200000.0)
d(5	22	23	2	200000.0)
d(6	5	20	2	200000.0)
d(7	5	10	4	200000.0)
d(8	10	13	4	200000.0)
d(9	1	23	3	200000.0)
d(10	18	19	2	200000.0)
d(11	13	22	2	200000.0)
d(12	19	19	2	200000.0)
d(13	3	16	5	200000.0)
d(14	4	4	3	200000.0)
d(15	14	24	4	200000.0)
d(16	10	15	1	200000.0)
d(17	2	11	3	200000.0)
d(18	11	16	2	200000.0)
d(19	23	23	4	200000.0)
d(20	6	19	4	200000.0)
d(21	21	23	5	200000.0)
d(22	24	24	1	200000.0)
d(23	13	15	4	200000.0)
d(24	10	15	2	200000.0)
d(25	19	23	2	200000.0)
d(26	18	22	5	200000.0)
d(27	5	12	1	200000.0)
d(28	4	11	3	200000.0)
d(29	15	24	1	200000.0)
d(30	16	17	5	200000.0)
d(31	6	6	3	200000.0)
d(32	14	20	2	200000.0)
d(33	19	20	3	200000.0)
d(34	20	23	1	200000.0)
d(35	7	10	5	200000.0)
d(36	4	9	1	200000.0)
d(37	14	21	2	200000.0)
d(38	15	15	4	200000.0)
d(39	21	22	4	200000.0)
d(40	5	17	2	200000.0)
d(41	2	2	4	200000.0)
d(42	9	20	5	200000.0)
d(43	4	10	5	200000.0)
d(44	16	17	2	200000.0)
d(45	13	15	1	200000.0)
d(46	24	24	3	200000.0)
d(47	17	20	3	200000.0)
d(48	11	22	5	200000.0)
d(49	19	21	2	200000.0)
d(50	2	3	5	200000.0)
d(51	13	19	2	200000.0)
d(52	14	18	2	200000.0)
d(53	10	12	1	200000.0)
d(54	7	19	2	200000.0)
d(55	15	18	4	200000.0)
d(56	16	24	2	200000.0)
d(57	2	21	3	200000.0)
d(58	24	24	4	200000.0)
d(59	23	23	3	200000.0)
d(60	13	19	5	200000.0)
v(1	1	11	146	22	2)
v(1	2	28	128	56	2)
v(1	3	24	35	48	2)
v(2	1	9	55	18	0)
v(3	1	14	107	28	0)
v(4	1	21	147	42	1)
v(4	2	26	62	52	1)
v(5	1	1	2	2	1)
v(5	2	13	41	26	1)
v(6	1	5	107	10	1)
v(6	2	16	127	32	1)
v(7	1	4	17	8	3)
v(7	2	3	163	6	3)
v(7	3	15	58	30	3)
v(7	4	17	124	34	3)
v(8	1	5	54	10	3)
v(8	2	2	127	4	3)
v(8	3	32	88	64	3)
v(8	4	5	114	10	3)
v(9	1	23	65	46	2)
v(9	2	27	43	54	2)
v(9	3	11	16	22	2)
v(10	1	20	93	40	1)
v(10	2	19	73	38	1)
v(11	1	25	36	50	1)
v(11	2	26	57	52	1)
v(12	1	13	73	26	1)
v(12	2	31	170	62	1)
v(13	1	15	77	30	3)
v(13	2	9	67	18	4)
v(13	3	29	106	58	4)
v(13	4	10	90	20	4)
v(13	5	5	65	10	3)
v(14	1	18	170	36	0)
v(14	2	1	118	2	1)
v(14	3	27	108	54	1)
v(15	1	25	32	50	3)
v(15	2	17	45	34	2)
v(15	3	8	120	16	2)
v(15	4	26	160	52	3)
v(16	1	11	170	22	0)
v(17	1	28	147	56	2)
v(17	2	18	72	36	2)
v(17	3	10	152	20	2)
v(18	1	26	143	52	1)
v(18	2	30	152	60	1)
v(19	1	6	144	12	3)
v(19	2	30	51	60	3)
v(19	3	26	180	52	3)
v(19	4	7	108	14	3)
v(20	1	22	150	44	3)
v(20	2	8	119	16	3)
v(20	3	1	54	2	3)
v(20	4	12	61	24	3)
v(21	1	24	86	48	4)
v(21	2	20	56	40	4)
v(21	3	12	83	24	3)
v(21	4	30	186	60	3)
v(21	5	20	105	40	4)
v(22	1	25	60	50	0)
v(23	1	11	83	22	2)
v(23	2	23	100	46	3)
v(23	3	28	119	56	3)
v(23	4	15	158	30	2)
